Site Num,Latitude,Longitude,State,Time Zone,Annual NO2 Average
6_14,39.912799,-105.188587,CO,America/Denver,2.724143759579927
1016_1,33.944713,-116.830074,CA,America/Los_Angeles,2.8249570364194265
1016_2,32.845709,-117.123964,CA,America/Los_Angeles,7.201698543035455
1016_3,29.043759,-95.472946,TX,America/Chicago,2.2233543460449385
8001_0,33.99958,-117.41601,CA,America/Los_Angeles,13.523100491323044
8005_0,33.99636,-117.4924,CA,America/Los_Angeles,11.883634867739412
9001_0,33.67649,-117.33098,CA,America/Los_Angeles,7.1448780042385245
10_1,38.56844,-121.49311,CA,America/Los_Angeles,7.76067097818855
10_2,21.323745,-158.088613,HI,Pacific/Honolulu,3.389640568725723
10_3,38.612034,-90.160477,IL,America/Chicago,8.699839780128691
10_4,37.702066,-97.314847,KS,America/Chicago,6.1491416900288245
10_5,42.612085,-71.306986,MA,America/New_York,10.346566192232723
10_6,48.317507,-107.862471,MT,America/Denver,0.534785481688326
10_7,40.85355,-73.96618,NJ,America/New_York,14.91861748319972
10_8,41.30283,-105.586,WY,America/Denver,
10_9,43.101281,-105.498931,WY,America/Denver,1.5246091253356664
10_10,43.600699,-116.347853,ID,America/Boise,9.42169788880693
26_1,34.06812,-117.52579,CA,America/Los_Angeles,29.277363393146576
26_2,39.77949,-105.00518,CO,America/Denver,16.016050293574107
26_3,29.802707,-95.125495,TX,America/Chicago,8.890445868401633
26_4,43.060975,-87.913504,WI,America/Chicago,8.93488201789207
27_1,34.030833,-117.61722,CA,America/Los_Angeles,29.885685593668082
27_2,39.73217,-105.0153,CO,America/Denver,21.899621701298965
27_3,41.3014,-72.902871,CT,America/New_York,11.216972035372308
27_4,25.732878,-80.16175,FL,America/New_York,2.7157044855702703
27_5,27.834409,-82.665251,FL,America/New_York,7.939550792607204
306_0,34.510961,-117.32554,CA,America/Los_Angeles,12.176991019114007
1234_0,35.77417,-117.3714,CA,America/Los_Angeles,3.091024119225958
2002_1,34.10002,-117.49201,CA,America/Los_Angeles,19.046015767219473
2002_2,36.332179,-119.291228,CA,America/Los_Angeles,9.01454828164814
2002_3,34.276316,-118.683685,CA,America/Los_Angeles,6.765361576629492
2002_4,28.596389,-81.3625,FL,America/New_York,3.7270228027767707
2002_5,40.206291,-109.353932,UT,America/Denver,1.3856285626067386
9004_0,34.106678,-117.274063,CA,America/Los_Angeles,15.215833628192213
1006_1,32.842318,-116.768293,CA,America/Los_Angeles,4.136942384953671
1006_2,27.350278,-82.479722,FL,America/New_York,2.3129893233154104
1006_3,33.153088,-96.115572,TX,America/Chicago,2.9983308903213826
1008_1,33.217055,-117.396177,CA,America/Los_Angeles,5.186992663889915
1008_2,34.942872,-120.435611,CA,America/Los_Angeles,5.071618115208863
1008_3,40.617488,-79.727664,PA,America/New_York,5.252393132740579
1014_1,32.57816,-116.92135,CA,America/Los_Angeles,7.5475206234389605
1014_2,34.54166,-119.79146,CA,America/Los_Angeles,0.6609117443742809
1017_0,32.985442,-117.08218,CA,America/Los_Angeles,13.886908040445585
1022_0,32.789565,-116.944308,CA,America/Los_Angeles,7.224800395195881
3005_0,37.682635,-121.442495,CA,America/Los_Angeles,4.713547519373867
4002_1,35.03146,-120.50103,CA,America/Los_Angeles,1.4857738601306598
4002_2,25.798709,-80.210048,FL,America/New_York,6.07469573301254
4002_3,41.855243,-87.75247,IL,America/Chicago,13.481860148713979
4002_4,42.298493,-72.334079,MA,America/New_York,1.5398759879911494
4002_5,40.662878,-111.901188,UT,America/Denver,16.529552365803056
8002_1,35.49453,-120.66617,CA,America/Los_Angeles,3.90389659951118
8002_2,26.087567,-80.111152,FL,America/New_York,4.533590258934257
1001_1,37.482934,-122.20337,CA,America/Los_Angeles,7.9302820722277865
1001_2,30.041238,-90.272826,LA,America/Chicago,5.057203857432778
1001_3,34.131262,-80.868318,SC,America/New_York,3.480895320727813
1001_4,30.085263,-93.761341,TX,America/Chicago,3.588729861817388
1013_1,34.725352,-120.428717,CA,America/Los_Angeles,0.34927615180091975
1013_2,44.373056,-110.830833,WY,America/Denver,1.3174855396745706
1013_3,42.388405,-82.979793,MI,America/Detroit,14.858943452380952
1018_0,34.52744,-120.1965,CA,America/Los_Angeles,1.8541482097866535
1021_0,34.403052,-119.457914,CA,America/Los_Angeles,1.3415740165212686
1025_0,34.48974,-120.04692,CA,America/Los_Angeles,0.6719319782471548
2004_1,34.63782,-120.4575,CA,America/Los_Angeles,2.451435415218419
